psa_iter,duration,dose,comp,mean_fm
6,12,450,0.0,2.2246777543956053
6,12,450,0.25,1.6708064754544174
6,12,450,0.5,1.1129601491285064
6,12,450,0.75,0.5577588300992015
6,16,0,0.0,0.0
6,16,0,0.25,0.0
6,16,0,0.5,0.0
6,16,0,0.75,0.0
6,16,75,0.0,0.5237071836287075
6,16,75,0.25,0.39124717777787166
6,16,75,0.5,0.2661824465503647
6,16,75,0.75,0.12882473308108355
6,16,150,0.0,1.047717064609584
6,16,150,0.25,0.7965245916919432
6,16,150,0.5,0.5247505652972875
6,16,150,0.75,0.2718525648506161
6,16,225,0.0,1.5574412510205229
6,16,225,0.25,1.1690670381033876
6,16,225,0.5,0.7685189557777439
6,16,225,0.75,0.3842066866451058
6,16,300,0.0,2.044262030900889
6,16,300,0.25,1.5299197989410298
6,16,300,0.5,1.0053359994987843
6,16,300,0.75,0.5141216687223624
6,16,375,0.0,2.515865538798281
6,16,375,0.25,1.8817368245767208
6,16,375,0.5,1.2448528219303148
6,16,375,0.75,0.6317324328208469
6,16,450,0.0,3.0052498545863755
6,16,450,0.25,2.231301238616281
6,16,450,0.5,1.4952236432129407
6,16,450,0.75,0.7449503482836337
6,24,0,0.0,0.0
6,24,0,0.25,0.0
6,24,0,0.5,0.0
6,24,0,0.75,0.0
6,24,75,0.0,0.7879604826771954
6,24,75,0.25,0.5926853594338354
6,24,75,0.5,0.3959450469519263
