comp,dose,delta_fm
0.0,75,0.2529241756573046
0.0,75,0.2326508487380648
0.0,75,0.2527579492219049
0.0,75,0.2770911823169704
0.0,75,0.4082891723343324
0.0,75,0.204214897912645
0.0,75,0.3521474136833715
0.0,75,0.1440028789945642
0.0,75,0.2652346614740427
0.0,75,0.3859522377648001
0.0,75,0.4306416148155678
0.0,75,0.2581229926752837
0.0,75,0.3790088799817718
0.0,75,0.2364736590113295
0.0,75,0.4588771930644615
0.0,75,0.5379837199972035
0.0,75,0.26668800673781
0.0,75,0.3176368963147522
0.0,75,0.2958191374029699
0.0,75,0.3793617133080851
0.0,75,0.3867382789719128
0.0,75,0.1265469068256744
0.0,75,0.2756996611847447
0.0,75,0.5250665276133889
0.0,75,0.1580674122208754
0.0,75,0.3120695673448462
0.0,75,0.2926720335831798
0.0,75,0.2376891150353043
0.0,75,0.4575965002266381
0.0,75,0.1468526389754899
0.0,75,0.3498248528929771
0.0,75,0.3867582440512292
0.0,75,0.2895475592152323
0.0,75,0.4300240801804409
0.0,75,0.1642967634170506
0.0,75,0.3050538471129307
0.0,75,0.2166980931685076
0.0,75,0.3224101534554736
0.0,75,0.287686052036644
0.0,75,0.3279670242263503
0.0,75,0.2541638458490539
0.0,75,0.3002015516608267
0.0,75,0.4031452635300289
0.0,75,0.3863582803270057
0.0,75,0.1336547019982952
0.0,75,0.45326997628073
0.0,75,0.4143947572907958
0.0,75,0.4893845904040378
0.0,75,0.2441657375374796
0.0,75,0.5576450259445558
0.0,75,0.3828126872763521
0.0,75,0.2854857311900307
0.0,75,0.359003257230058
0.0,75,0.3336890512373092
0.0,75,0.3219031157306021
0.0,75,0.3265091011240274
0.0,75,0.297343409002944
0.0,75,0.2925952421035797
0.0,75,0.3116419264210455
0.0,75,0.1636266248640326
0.0,75,0.2786494761852342
0.0,75,0.1398890952528292
0.0,75,0.335867309482736
0.0,75,0.3157572095529065
0.0,75,0.4216565653834036
0.0,75,0.4658833547385624
0.0,75,0.3727645340694015
0.0,75,0.2039102972887238
0.0,75,0.2084752774939331
0.0,75,0.2178941315865525
0.0,75,0.3073423501890201
0.0,75,0.3375520646024024
0.0,75,0.2925972714794074
0.0,75,0.4785209682911052
0.0,75,0.2193908150541862
0.0,75,0.458869744366526
0.0,75,0.2689946035827029
0.0,75,0.4744354400924346
0.0,75,0.4019697898358976
0.0,75,0.2684237565153675
0.0,75,0.5552187095563915
0.0,75,0.591251864828095
0.0,75,0.3028530767702027
0.0,75,0.1683509978328782
0.0,75,0.2299372013051177
0.0,75,0.2977713275572637
0.0,75,0.4368406914456388
0.0,75,0.2999807748843622
0.0,75,0.2406816848038614
0.0,75,0.2446386707571747
0.0,75,0.4631253107122049
0.0,75,0.2297876460715398
0.0,75,0.2504949456632674
0.0,75,0.2402971861358899
0.0,75,0.1979303920155029
0.0,75,0.2823314079876206
0.0,75,0.7089730485337092
0.0,75,0.3373130054165358
0.0,75,0.2856491479382507
0.0,75,0.310642956849459
0.0,75,0.3205514661405229
0.0,75,0.30254608249018
0.0,75,0.3174667657121559
0.0,75,0.194521195549413
0.0,75,0.2611381272918766
0.0,75,0.1740178061924409
0.0,75,0.1971722755703084
0.0,75,0.329350822176042
0.0,75,0.258775170027344
0.0,75,0.2195464301551725
0.0,75,0.3068635612950658
0.0,75,0.2588527295163646
0.0,75,0.2805247014079142
0.0,75,0.4821077296158867
0.0,75,0.5101395027888419
0.0,75,0.4095827987430606
0.0,75,0.3539435905106485
0.0,75,0.4012500291746546
0.0,75,0.3907644610870612
0.0,75,0.32220293157528
0.0,75,0.3791194877871541
0.0,75,0.4163180740470125
0.0,75,0.3119595475701636
0.0,75,0.4598283034042819
